"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Mar 24 15:31:56 CLST 2026","Tue Mar 24 15:32:54 CLST 2026","57504","","","","","","Valido formulario basico en hakatools -- @2.1 ejecucion combinatoria 2",""
"failed","Tue Mar 24 15:31:14 CLST 2026","Tue Mar 24 15:31:56 CLST 2026","41753","","","","","","Valido formulario basico en hakatools -- @1.1 ejecucion combinatoria 1",""
