"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3891","Registro exitoso de datos de contacto en formulario básico -- @1.1 ejecucion combinatoria 1","","Thu May 14 23:59:35 UTC 2026","skipped","Thu May 14 23:59:39 UTC 2026","","","",""
"","6377","Registro exitoso de datos de contacto en formulario básico -- @2.1 ejecucion combinatoria 2","","Thu May 14 23:59:31 UTC 2026","skipped","Thu May 14 23:59:37 UTC 2026","","","",""
